Id,WnvPresent
1,0.2109375
2,0.0
3,0.2109375
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.04907539118065434
10,0.04907539118065434
11,0.17647058823529413
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.2109375
18,0.0
19,0.2109375
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.04907539118065434
26,0.04907539118065434
27,0.17647058823529413
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.04907539118065434
34,0.04907539118065434
35,0.17647058823529413
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.04907539118065434
42,0.04907539118065434
43,0.17647058823529413
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.04907539118065434
50,0.04907539118065434
51,0.17647058823529413
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.04907539118065434
58,0.04907539118065434
59,0.17647058823529413
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.04907539118065434
66,0.04907539118065434
67,0.17647058823529413
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.5
74,0.5
75,0.17647058823529413
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.04907539118065434
82,0.04907539118065434
83,0.17647058823529413
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.04907539118065434
90,0.04907539118065434
91,0.17647058823529413
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.04907539118065434
98,0.04907539118065434
99,0.17647058823529413
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.04907539118065434
106,0.04907539118065434
107,0.17647058823529413
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.2109375
114,0.0
115,0.2109375
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.04907539118065434
122,0.04907539118065434
123,0.17647058823529413
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.04907539118065434
130,0.04907539118065434
131,0.17647058823529413
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.04907539118065434
138,0.04907539118065434
139,0.17647058823529413
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.2109375
146,0.0
147,0.2109375
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.2109375
154,0.0
155,0.2109375
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.2109375
162,0.0
163,0.2109375
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.04907539118065434
170,0.04907539118065434
171,0.17647058823529413
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.04907539118065434
178,0.04907539118065434
179,0.17647058823529413
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.04907539118065434
186,0.04907539118065434
187,0.17647058823529413
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.04907539118065434
194,0.04907539118065434
195,0.17647058823529413
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.04907539118065434
202,0.04907539118065434
203,0.17647058823529413
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.04907539118065434
210,0.04907539118065434
211,0.17647058823529413
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.04907539118065434
218,0.04907539118065434
219,0.17647058823529413
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.04907539118065434
226,0.04907539118065434
227,0.17647058823529413
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.04907539118065434
234,0.04907539118065434
235,0.17647058823529413
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.04907539118065434
242,0.04907539118065434
243,0.17647058823529413
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.04907539118065434
250,0.04907539118065434
251,0.17647058823529413
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.04907539118065434
258,0.04907539118065434
259,0.17647058823529413
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.04907539118065434
266,0.04907539118065434
267,0.17647058823529413
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.04907539118065434
274,0.04907539118065434
275,0.17647058823529413
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.04907539118065434
282,0.04907539118065434
283,0.17647058823529413
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.04907539118065434
290,0.04907539118065434
291,0.17647058823529413
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.2109375
298,0.0
299,0.2109375
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.04907539118065434
306,0.04907539118065434
307,0.17647058823529413
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.04907539118065434
314,0.04907539118065434
315,0.17647058823529413
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.04907539118065434
322,0.04907539118065434
323,0.17647058823529413
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.04907539118065434
330,0.04907539118065434
331,0.17647058823529413
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.04907539118065434
